"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 0 0 1 0 0 1 0 0 0 1
"2" 0 0 0 1 0 0 0 0 0 0
"3" 0 1 0 0 1 0 1 0 0 0
"4" 0 0 0 0 1 0 0 0 0 1
"5" 0 0 0 0 0 0 0 1 0 0
"6" 0 0 0 0 0 0 0 1 0 1
"7" 0 0 0 0 0 0 0 1 1 0
"8" 0 1 0 1 0 1 0 1 0 0
"9" 0 1 0 0 0 0 0 0 1 0
"10" 1 0 0 0 1 0 0 1 1 0
"11" 0 0 0 0 0 0 0 0 0 1
"12" 0 0 0 0 0 0 0 0 1 0
"13" 1 0 0 0 1 0 0 0 1 1
"14" 0 0 0 1 0 0 0 1 0 0
"15" 0 0 0 0 0 0 0 0 1 0
"16" 0 1 0 0 0 0 1 0 0 0
"17" 1 1 0 0 0 0 1 1 0 0
"18" 0 0 0 0 1 0 0 0 0 0
"19" 1 0 1 0 0 0 0 0 0 0
"20" 0 0 0 0 0 0 0 1 1 0
"21" 0 1 1 0 0 0 0 1 0 0
"22" 0 0 0 0 0 1 0 1 0 0
"23" 0 1 0 0 0 0 0 0 0 0
"24" 0 0 0 0 1 0 0 0 0 1
"25" 0 0 1 0 0 0 0 0 0 0
"26" 0 1 0 0 0 1 0 0 0 0
"27" 0 0 0 0 0 1 0 0 0 0
"28" 0 0 1 0 0 0 0 0 0 0
"29" 0 0 0 0 0 0 0 1 0 0
"30" 0 0 0 0 0 0 0 0 1 0
"31" 0 0 0 0 0 1 0 1 0 0
"32" 0 0 1 0 0 0 1 0 1 0
"33" 1 1 0 1 0 0 0 0 0 0
"34" 1 1 0 1 0 1 0 0 0 0
"35" 0 0 1 1 0 1 0 1 1 0
"36" 0 0 0 0 0 1 0 0 0 0
"37" 0 0 0 0 0 0 1 0 0 1
"38" 0 0 0 1 0 0 0 0 1 0
"39" 0 0 1 1 0 0 0 0 0 0
"40" 1 0 1 0 0 0 1 1 0 0
"41" 1 0 1 0 1 1 0 0 0 1
"42" 1 0 0 0 0 0 1 0 0 0
"43" 0 0 0 0 0 1 0 0 0 0
"44" 0 0 1 0 1 0 1 0 1 0
"45" 0 1 1 1 0 0 1 0 0 0
"46" 1 0 0 0 0 0 1 0 0 1
"47" 1 0 0 0 1 1 0 0 1 0
"48" 0 0 0 0 1 0 0 0 0 1
"49" 0 1 0 0 0 0 0 1 1 0
"50" 0 0 1 0 0 0 0 0 0 0
"51" 0 1 0 0 0 0 0 0 0 1
"52" 1 0 1 0 0 1 0 0 0 0
"53" 0 0 0 0 1 0 0 0 0 0
"54" 1 0 0 1 0 0 0 0 0 0
"55" 0 1 0 0 0 1 0 0 0 0
"56" 0 0 0 0 0 0 0 0 0 1
"57" 0 1 1 0 0 0 0 0 1 0
"58" 1 0 0 0 0 0 0 0 0 0
"59" 1 0 0 0 0 1 0 0 0 0
"60" 0 0 0 1 0 0 0 0 0 0
"61" 1 0 0 0 0 0 0 0 0 0
"62" 0 1 1 0 0 0 0 0 0 0
"63" 0 0 1 0 0 0 0 1 1 0
"64" 0 0 1 1 0 0 0 0 0 1
"65" 0 1 0 0 0 0 1 0 0 0
"66" 1 0 0 0 1 0 0 0 0 1
"67" 0 0 0 1 0 0 0 0 1 0
"68" 0 1 0 0 0 0 0 0 0 0
"69" 0 0 1 0 0 0 0 0 0 0
"70" 0 0 0 1 0 1 1 0 1 0
"71" 0 0 0 0 0 0 1 1 0 0
"72" 0 0 0 1 1 0 0 1 0 0
"73" 0 0 0 0 0 0 0 0 1 1
"74" 0 1 0 0 0 1 0 1 0 1
"75" 1 0 0 0 0 1 1 0 0 0
"76" 0 0 0 0 0 0 1 1 1 0
"77" 0 0 1 0 0 0 0 0 1 0
"78" 0 0 0 0 0 0 0 0 0 1
"79" 0 1 0 0 1 0 0 0 0 0
"80" 0 1 1 1 0 0 0 1 0 1
"81" 0 0 0 1 1 1 1 0 0 0
"82" 1 0 0 0 1 0 0 0 0 1
"83" 0 0 1 0 0 0 1 0 0 0
"84" 0 0 0 0 0 1 0 0 0 0
"85" 0 0 1 1 0 0 1 1 0 0
